mi_from_subject,record_type,status,name,planning_area,review_authority,zoning,aia_zone,record_id
3.06,Floodplain-Hillside,Awaiting Applications,3623 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,CFH26-00024
3.06,Project,Awaiting Applications,3623 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,PLN26-00285
3.07,Floodplain-Hillside,Awaiting Applications,3615 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,CFH26-00034
3.07,Floodplain-Hillside,Returned to Applicant,3603 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,CFH26-00027
3.07,Project,Applications in Review,3603 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,PLN26-00296
3.07,Project,Awaiting Applications,3615 E ASTEROID CT,Foothills,Administrative,MZC 2023,Outside AIA,PLN26-00352
3.1,Floodplain-Hillside,Awaiting Applications,1936 S WINDSTAR PL,Foothills,Administrative,MZC 2023,Outside AIA,CFH25-00095
3.1,Project,Awaiting Applications,1936 S WINDSTAR PL,Foothills,Administrative,MZC 2023,Outside AIA,PLN25-01021
3.11,Project,Applications in Review,3596 E ASTEROID DR,Foothills,Administrative,MZC 2023,Outside AIA,PLN25-00945
3.13,Floodplain-Hillside,Returned to Applicant,3572 E ASTEROID DR,Foothills,Administrative,MZC 2023,Outside AIA,CFH26-00029
3.13,Project,Applications in Review,3572 E ASTEROID DR,Foothills,Administrative,MZC 2023,Outside AIA,PLN26-00297
3.14,Floodplain-Hillside,Awaiting Applications,1292 E CROSSCREEK LN - CFH,Southeast,Administrative,MZC 2023,Outside AIA,CFH25-00035
3.14,Floodplain-Hillside,Awaiting Applications,1292 E CROSSCREEK LN - CFH,Southeast,Administrative,MZC 2023,Outside AIA,CFH25-00036
3.14,Project,Project Entitled,1292 E CROSSCREEK LN - CFH,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00149
3.15,Project,Applications in Review,3412 S LINDSAY AVE,Central Bench,City Council,MZC 2023,Outside AIA,PLN25-00164
3.15,Project,Neighborhood Meeting,3412 S LINDSAY AVE,Central Bench,Design Review Commission,MZC 2023,Outside AIA,PLN26-00457
3.21,Project,Applications in Review,2623 S LEADVILLE AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00185
3.26,Project,Awaiting Applications,716 W LINDEN ST,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00228
3.27,Design Review-Historic,Awaiting Applications,607 E PENNSYLVANIA ST,Southeast,Administrative,MZC 2023,Outside AIA,DRH25-00357
3.27,Project,Awaiting Applications,607 E PENNSYLVANIA ST,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00713
3.29,Project,Applications in Review,1621 S STONE RIDGE WAY - CFH,Foothills,Administrative,MZC 2023,Outside AIA,PLN25-00753
3.34,Project,Applications in Review,1535 S GALAXY WAY,Foothills,Hearing Examiner,MZC 2023,Outside AIA,PLN26-00308
3.35,Project,Applications in Review,2530 S BROADWAY AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00282
3.38,Project,Applications in Review,3262 E BIRDSONG CT,Foothills,Administrative,MZC 2023,Outside AIA,PLN26-00545
3.42,Project,Applications in Review,2233 S DIVISION AVE,Southeast,City Council,MZC 2023,Outside AIA,PLN25-00401
3.48,Project,Expired,524 E PARKWAY CT,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00352
3.48,Record of Survey,Awaiting Applications,524 E PARKWAY CT,Southeast,Administrative,MZC 2023,Outside AIA,ROS25-00036
3.5,Conditional Use,In Review,2017 W VICTORY RD,Central Bench,City Council,MZC 2023,Outside AIA,CUP26-00017
3.5,Floodplain-Hillside,Returned to Applicant,2017 W VICTORY RD,Central Bench,City Council,MZC 2023,Outside AIA,CFH26-00040
3.5,Project,Applications in Review,2017 W VICTORY RD,Central Bench,City Council,MZC 2023,Outside AIA,PLN25-01116
3.5,Project,Applications in Review,2312 S BROADWAY AVE,Southeast,City Council,MZC 2023,Outside AIA,PLN25-00965
3.5,Subdivision,In Review,2017 W VICTORY RD,Central Bench,Planning & Zoning Commission,MZC 2023,Outside AIA,SUB26-00025
3.52,Project,Awaiting Applications,2315 S BROADWAY AVE,Southeast,City Council,MZC 2023,Outside AIA,PLN25-00357
3.58,Project,Applications in Review,1020 W TARGEE ST,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00089
3.58,Project,Applications in Review,1022 W TARGEE ST,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00094
3.6,Project,Expired,2140 S Longmont,Southeast,Administrative,MZC 2023,Outside AIA,PLN24-00822
3.7,Project,Awaiting Applications,1303 W HOWARD ST,Southeast,City Council,MZC 2023,Outside AIA,PLN26-00096
3.7,Subdivision,Awaiting Applications,1303 W HOWARD ST,Southeast,City Council,MZC 2023,Outside AIA,SUB26-00033
3.71,Project,Applications in Review,1853 W MALAD LN,Central Bench,Administrative,MZC 2023,Outside AIA,PLN24-00982
3.71,Project,Applications in Review,2420 E WARM SPRINGS AVE,Foothills,Administrative,MZC 2023,Outside AIA,PLN25-00964
3.71,Record of Survey,Returned to Applicant,1853 W MALAD LN,Central Bench,Administrative,MZC 2023,Outside AIA,ROS25-00005
3.72,Project,Applications in Review,2130 S GRANT AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00270
3.73,Project,Applications in Review,2521 W VICTORY RD,Central Bench,Design Review Commission,MZC 2023,Outside AIA,PLN25-00220
3.74,Design Review-Historic,Awaiting Applications,3300 S VISTA AVE,Central Bench,Administrative,MZC 2023,A,DRH25-00192
3.74,Project,Awaiting Applications,3300 S VISTA AVE,Central Bench,Administrative,MZC 2023,A,PLN25-00452
3.84,Conditional Use,Applicant Upload,3200 S VISTA AVE,Central Bench,Hearing Examiner,MZC 2023,A,CUP26-00016
3.84,Design Review-Historic,Applicant Upload,3200 S VISTA AVE,Central Bench,Hearing Examiner,MZC 2023,A,DRH26-00157
3.84,Project,Applications in Review,1910 S LEADVILLE AVE,Southeast,City Council,MZC 2023,Outside AIA,PLN25-00739
3.84,Project,Applications in Review,3200 S VISTA AVE,Central Bench,Hearing Examiner,MZC 2023,A,PLN25-00564
3.87,Project,Awaiting Applications,Parcel S1028111050,Central Bench,Administrative,MZC 2023,Outside AIA,PLN25-01059
3.87,Record of Survey,Awaiting Applications,Parcel S1028111050,Central Bench,Administrative,MZC 2023,Outside AIA,ROS26-00006
3.94,Project,Awaiting Applications,315 W HOWE ST - ADU,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00310
3.96,Project,Awaiting Applications,1723 S LEADVILLE AVE - ADU,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00439
3.98,Design Review-Historic,Applicant Upload,1715 S LEADVILLE AVE,Southeast,Administrative,MZC 2023,Outside AIA,DRH25-00421
3.98,Project,Applications in Review,1715 S LEADVILLE AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-01024
4.0,Project,Applications in Review,517 W HIGHLAND ST,Southeast,City Council,MZC 2023,Outside AIA,PLN24-00077
4.01,Project,Applications in Review,3201 W Airport Wy,Airport,Administrative,MZC 2023,C,PLN26-00423
4.04,Project,Applications in Review,1628 S LONGMONT - ADU,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00068
4.06,Design Review-Historic,Awaiting Applications,517 W HIGHLAND ST,Southeast,City Council,MZC 2023,Outside AIA,DRH24-00212
4.07,Design Review-Historic,In Review,1808 S EUCLID AVE,Other,Administrative,MZC 2023,Outside AIA,DRH26-00192
4.07,Project,Applications in Review,1808 S EUCLID AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00474
4.09,Conditional Use,Awaiting Applications,506 W HIGHLAND ST - Minor Mod,Southeast,Administrative,MZC 2023,Outside AIA,CUP26-00021
4.09,Project,Planning Application Submittal,506 W HIGHLAND ST - Minor Mod,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00563
4.11,Project,Applications in Review,1732 S EUCLID AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00347
4.16,Design Review-Historic,Returned to Applicant,1427 S COLORADO AVE,Southeast,Administrative,MZC 2023,Outside AIA,DRH26-00173
4.16,Project,Applications in Review,1427 S COLORADO AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00425
4.22,Project,Awaiting Applications,711 W HALE ST,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00080
4.22,Record of Survey,Awaiting Applications,711 W HALE ST,Southeast,Administrative,MZC 2023,Outside AIA,ROS26-00008
4.23,Project,Applications in Review,1712 S MICHIGAN AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00482
4.23,Project,Awaiting Applications,1805 W OVERLAND RD - SUB,Central Bench,City Council,MZC 2023,Outside AIA,PLN25-01095
4.23,Subdivision,Awaiting Applications,1805 W OVERLAND RD - SUB,Central Bench,City Council,MZC 2023,Outside AIA,SUB25-00103
4.24,Project,Expired,2509 W LEMHI ST - SUB,Central Bench,City Council,MZC 2023,Outside AIA,PLN25-00389
4.24,Project,Planning Application Submittal,1404 S LONGMONT AVE - ADU,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00436
4.24,Subdivision,Awaiting Applications,2509 W LEMHI ST - SUB,Central Bench,City Council,MZC 2023,Outside AIA,SUB25-00043
4.26,Project,Applications in Review,111 N BACON DR,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN25-00550
4.26,Record of Survey,Returned to Applicant,111 N BACON DR,North-East Ends,Administrative,MZC 2023,Outside AIA,ROS25-00050
4.27,Design Review-Historic,Awaiting Applications,1607 S MANITOU AVE,Southeast,Administrative,MZC 2023,Outside AIA,DRH26-00200
4.27,Design Review-Historic,In Review,1422 S DENVER AVE,Southeast,Administrative,MZC 2023,Outside AIA,DRH26-00169
4.27,Project,Applications in Review,1422 S DENVER AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00429
4.27,Project,Planning Application Submittal,1607 S MANITOU AVE - ADU,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00481
4.28,Project,Awaiting Applications,125 N BACON DR,North-East Ends,Administrative,MZC 2023,Outside AIA,PLN26-00528
4.34,Design Review-Historic,Awaiting Applications,1504 S MANITOU AVE,Southeast,City Council,MZC 2023,Outside AIA,DRH25-00364
4.34,Project,Applications in Review,1504 S MANITOU AVE,Southeast,City Council,MZC 2023,Outside AIA,PLN25-00572
4.34,Project,Neighborhood Meeting,1529 S VERMONT AVE,Southeast,Hearing Examiner,MZC 2023,Outside AIA,PLN26-00344
4.36,Project,Neighborhood Meeting,"3635 W ELDER ST - CAR, DRH",Central Bench,City Council,MZC 2023,B-1,PLN26-00304
4.38,Project,Awaiting Applications,2949 W ONA ST,Central Bench,Administrative,MZC 2023,Outside AIA,PLN26-00483
4.4,Floodplain-Hillside,In Review,118 N CASTELLO PL,Foothills,Planning & Zoning Commission,MZC 2023,Outside AIA,CFH24-00049
4.4,Project,Applications in Review,118 N CASTELLO PL,Foothills,Administrative,MZC 2023,Outside AIA,PLN24-00694
4.42,Project,Applications in Review,3502 W CATALINA RD - ADU,Central Bench,Administrative,MZC 2023,Outside AIA,PLN25-01089
4.43,Project,Applications in Review,1501 S MICHIGAN AVE - ADU,Southeast,Administrative,MZC 2023,Outside AIA,PLN25-00641
4.45,Project,Applications in Review,3504 W GREENBRIER - LNC Structure,Central Bench,Administrative,MZC 2023,Outside AIA,PLN26-00048
4.45,Project,Expired,1614 W HIGHLAND ST,Southeast,Hearing Examiner,MZC 2023,Outside AIA,PLN23-00039
4.46,Project,Neighborhood Meeting,500 S WALNUT ST - CFH,North-East Ends,Planning & Zoning Commission,MZC 2023,Outside AIA,PLN26-00127
4.47,Project,Applications in Review,1129 S BROADWAY AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00132
4.48,Project,Awaiting Applications,1106 S LONGMONT AVE,Southeast,Administrative,MZC 2023,Outside AIA,PLN26-00557
4.5,Project,Applications in Review,2201 S. Hervey St. - DRH,Central Bench,Hearing Examiner,MZC 2023,Outside AIA,PLN25-00740
4.52,Project,Applications in Review,2316 W FREDERIC ST,Central Bench,Administrative,MZC 2023,Outside AIA,PLN26-00469
